episode,timestep,reward
1,1200,-776.1018
3,2400,-1003.4771
5,3600,-1071.8467
7,4800,-307.8309
9,6000,-767.5977
11,7200,58.9473
13,8400,-428.1161
15,9600,-512.5733
17,10800,-183.4716
19,12000,-388.7855
21,13200,-299.4745
23,14400,5.9409
25,15600,-280.4006
27,16800,-504.7183
29,18000,186.3287
31,19200,137.9415
34,20400,314.4025
36,21600,397.9055
38,22800,-52.1391
40,24000,185.7638
42,25200,273.6482
44,26400,-10.3277
46,27600,127.0895
48,28800,207.9319
50,30000,-47.7247
52,31200,64.3158
54,32400,-15.3761
56,33600,-146.3901
58,34800,312.2373
60,36000,252.2014
62,37200,444.211
64,38400,301.0257
66,39600,-13.6417
68,40800,132.1174
70,42000,366.999
72,43200,275.8179
74,44400,164.3907
76,45600,199.0963
78,46800,174.5717
80,48000,490.249
82,49200,355.499
84,50400,374.6956
86,51600,318.1228
88,52800,325.8516
90,54000,80.4074
92,55200,45.4949
94,56400,11.7358
96,57600,380.2725
98,58800,502.5547
100,60000,297.14
102,61200,208.3935
104,62400,364.2886
106,63600,190.8322
108,64800,153.0366
110,66000,303.9652
112,67200,273.3988
114,68400,200.887
116,69600,455.8763
118,70800,319.3756
120,72000,410.6014
122,73200,168.8749
124,74400,163.3011
126,75600,355.2255
128,76800,93.5884
130,78000,257.1784
132,79200,159.5505
134,80400,358.8882
136,81600,627.8898
138,82800,500.9192
140,84000,253.109
142,85200,937.1589
144,86400,465.83
146,87600,460.0727
148,88800,326.9243
150,90000,545.8668
152,91200,423.716
154,92400,454.9922
156,93600,370.5689
158,94800,357.6189
160,96000,328.3
162,97200,239.0997
164,98400,359.4114
166,99600,357.8437
168,100800,417.5252
170,102000,365.4923
172,103200,707.7159
174,104400,426.52
176,105600,217.7527
178,106800,396.9387
180,108000,289.341
183,109200,769.6493
185,110400,298.4718
187,111600,405.777
189,112800,249.1946
191,114000,263.8678
193,115200,391.0529
195,116400,264.3578
197,117600,961.3983
199,118800,491.475
