episode,timestep,reward
550,269000,-3335.6708
553,270000,-2800.1313
556,271000,-2083.6448
558,272000,-3356.7125
560,273000,-2465.67
562,274000,-3257.1561
564,275000,-3887.2116
566,276000,-4008.5089
568,277000,-4078.8243
570,278000,-3378.6915
572,279000,-3522.8523
574,280000,-3871.5428
576,281000,-3699.257
579,282000,-3433.2169
581,283000,-2581.9653
583,284000,-3436.9906
585,285000,-3448.5306
587,286000,-3741.9644
590,287000,-1855.3404
593,288000,-2455.1316
595,289000,-2499.7914
598,290000,-2158.048
601,291000,-2188.0545
604,292000,-3016.7518
608,293000,-1228.586
611,294000,-2302.8558
613,295000,-3410.6942
615,296000,-2081.8031
617,297000,-4050.6747
620,298000,-3070.8141
623,299000,-2384.3903
625,300000,-3210.895
627,301000,-3130.1964
630,302000,-2046.1347
632,303000,-3488.7097
634,304000,-4140.8281
636,305000,-2576.6985
639,306000,-2343.9448
642,307000,-1994.9385
644,308000,-1669.328
646,309000,-3054.9039
648,310000,-3275.3972
652,311000,-2528.5464
655,312000,-1742.3962
658,313000,-1153.018
660,314000,-3609.7754
663,315000,-2552.5266
667,316000,-1145.8114
670,317000,-2403.522
672,318000,-1422.4415
675,319000,-2118.7663
678,320000,-3033.7589
680,321000,-3303.7672
683,322000,-2238.64
687,323000,-1565.5643
692,324000,-816.4547
694,325000,-2653.2495
696,326000,-3823.6857
699,327000,-2134.344
702,328000,-1794.7261
704,329000,-3028.4271
706,330000,-2862.3163
710,331000,-2364.7936
712,332000,-3495.7039
714,333000,-3840.0661
717,334000,-1436.7134
719,335000,-2309.6884
722,336000,-2795.4984
724,337000,-3143.5126
727,338000,-1792.3055
729,339000,-3395.3508
731,340000,-3619.7447
733,341000,-3595.8951
736,342000,-2935.8315
738,343000,-3485.0732
740,344000,-3842.59
742,345000,-2926.6804
744,346000,-4025.4331
746,347000,-3204.423
749,348000,-2741.9712
751,349000,-3839.7618
754,350000,-2968.7362
756,351000,-2238.6799
759,352000,-3299.6577
761,353000,-2905.7734
763,354000,-4139.7934
765,355000,-3066.0741
767,356000,-3323.1654
769,357000,-4054.4281
771,358000,-4007.1024
773,359000,-3469.9239
776,360000,-2472.685
778,361000,-4048.8796
780,362000,-3632.0509
782,363000,-2455.7482
784,364000,-4280.8914
786,365000,-3911.8626
788,366000,-3659.8985
791,367000,-2954.6396
794,368000,-1468.984
797,369000,-2797.3835
799,370000,-3789.5274
801,371000,-3376.7638
803,372000,-3396.7534
806,373000,-1950.1299
809,374000,-1948.431
811,375000,-3935.1677
814,376000,-2534.4149
817,377000,-2754.0216
819,378000,-3190.6204
822,379000,-1757.0834
824,380000,-3029.8133
826,381000,-2957.9747
828,382000,-3199.6828
832,383000,-2337.9966
834,384000,-3164.0335
838,385000,-2036.0875
840,386000,-2594.0594
842,387000,-3481.6698
845,388000,-2815.8346
847,389000,-3721.3493
849,390000,-3363.4461
851,391000,-2990.4601
854,392000,-2012.2082
856,393000,-2413.5217
859,394000,-2247.9058
862,395000,-1778.4522
864,396000,-1893.1535
867,397000,-2559.1903
869,398000,-3424.8077
872,399000,-1436.4772
874,400000,-2940.4522
876,401000,-3841.8734
878,402000,-2002.4072
880,403000,-3886.372
882,404000,-3198.5644
886,405000,-1736.6848
890,406000,-1576.8076
892,407000,-3321.0467
894,408000,-3071.7223
896,409000,-2271.6623
900,410000,-1900.9734
903,411000,-1580.6444
905,412000,-2762.8106
908,413000,-2360.922
911,414000,-2189.1825
914,415000,-2060.2712
917,416000,-1559.4753
920,417000,-2112.2174
923,418000,-1746.5626
925,419000,-2070.2061
929,420000,-1815.7726
931,421000,-2754.9523
933,422000,-3007.1759
935,423000,-2909.0942
938,424000,-1558.8406
941,425000,-1703.1305
943,426000,-2432.952
945,427000,-3139.5138
947,428000,-2770.3635
949,429000,-3568.8545
951,430000,-3153.3121
954,431000,-2580.4916
957,432000,-2065.6832
959,433000,-3222.5955
962,434000,-2923.2476
965,435000,-2128.6383
967,436000,-3875.2641
969,437000,-3259.9802
971,438000,-3089.1014
974,439000,-2084.0396
977,440000,-1858.7087
980,441000,-2230.6439
984,442000,-1224.7668
986,443000,-3137.9193
988,444000,-2784.7607
991,445000,-2370.4056
994,446000,-2319.3566
996,447000,-1869.8843
1001,448000,-1083.5168
1004,449000,-2033.1684
1008,450000,-1272.6225
1010,451000,-2786.7196
1013,452000,-2486.0282
1018,453000,-1008.2042
1023,454000,-1234.0003
1027,455000,-754.7997
1029,456000,-2669.5486
1034,457000,-960.8766
1040,458000,-541.5816
1044,459000,-1394.0618
1048,460000,-876.452
1052,461000,-1605.166
1056,462000,-1066.4671
1061,463000,-1021.6964
1065,464000,-1194.8392
1069,465000,-1394.3478
1073,466000,-1387.7242
1079,467000,-790.7908
1082,468000,-1542.1973
1085,469000,-1631.7822
1089,470000,-879.2024
1093,471000,-1431.4226
1097,472000,-878.7804
1100,473000,-2409.115
1102,474000,-1309.8928
1107,475000,-1020.2185
1109,476000,-2860.874
1112,477000,-1798.4787
1117,478000,-848.2785
1121,479000,-1467.6833
1124,480000,-808.0199
1128,481000,-1265.414
1135,482000,-677.7043
1140,483000,-1012.9106
1144,484000,-753.7863
1147,485000,-1376.9912
1151,486000,-1690.738
1157,487000,-813.1819
1159,488000,-1588.4136
1162,489000,-2545.5365
1166,490000,-1159.7758
1171,491000,-1227.9962
1176,492000,-912.7733
1178,493000,-1744.3789
1184,494000,-859.7142
1187,495000,-2176.0157
1190,496000,-1366.047
1193,497000,-2123.8283
1195,498000,-1851.8636
1199,499000,-1405.1787
1205,500000,-931.4704
1209,501000,-1131.3043
1214,502000,-1076.364
1219,503000,-731.4818
1224,504000,-906.6527
1229,505000,-822.3927
1232,506000,-1865.543
1237,507000,-585.6213
1239,508000,-2600.2434
1243,509000,-1137.2528
1246,510000,-2064.7993
1253,511000,-402.4012
1257,512000,-1109.592
1263,513000,-735.974
1268,514000,-920.8384
1273,515000,-738.3845
1276,516000,-1252.6603
1279,517000,-1895.917
1283,518000,-1688.698
1288,519000,-985.0411
1295,520000,-355.0945
1300,521000,-893.6633
1307,522000,-511.1078
1311,523000,-1180.5446
1313,524000,-1698.7208
1319,525000,-885.8807
1324,526000,-624.8707
1326,527000,-1663.5404
1331,528000,-1323.7844
1337,529000,-921.6829
1339,530000,-1785.8975
1342,531000,-1891.4886
1345,532000,-1797.2412
1348,533000,-895.6176
1350,534000,-2732.4503
1356,535000,-964.005
1358,536000,-1750.9062
1361,537000,-2076.9808
1365,538000,-778.543
1368,539000,-1668.4701
1370,540000,-2821.1777
1374,541000,-1638.1659
1378,542000,-1265.8814
1382,543000,-1038.9449
1385,544000,-1949.3409
1389,545000,-779.625
1392,546000,-1186.8779
1400,547000,-654.3237
1406,548000,-553.1005
1408,549000,-1126.1477
1413,550000,-988.8744
1419,551000,-715.7758
1423,552000,-1428.9184
1429,553000,-617.0186
1433,554000,-866.398
1438,555000,-941.6277
1444,556000,-549.9739
1450,557000,-454.3315
1456,558000,-918.8661
1464,559000,-417.4597
1469,560000,-579.045
1473,561000,-826.7777
1477,562000,-1094.8414
1482,563000,-555.3794
1489,564000,-541.3789
1495,565000,-161.1051
1501,566000,-734.6826
1506,567000,-914.3445
1512,568000,-498.4021
1519,569000,-321.4864
1525,570000,-577.4733
1531,571000,-442.6075
1536,572000,-761.3597
1543,573000,-532.7834
1550,574000,-497.3147
1556,575000,-659.5777
1564,576000,-325.1842
1571,577000,-327.5016
1578,578000,-418.3038
1585,579000,-515.6151
1592,580000,-245.4454
1599,581000,-435.7454
1603,582000,-592.2414
1612,583000,-323.2669
1617,584000,-587.6782
1623,585000,-306.0041
1629,586000,-656.4673
1638,587000,-297.2747
1645,588000,-58.0663
1654,589000,-157.2286
1660,590000,-550.6231
1668,591000,-222.9114
1676,592000,-154.9764
1684,593000,-235.4279
1692,594000,-287.0221
1701,595000,-156.2086
1711,596000,-67.053
1719,597000,-252.7709
1723,598000,-700.0893
1731,599000,-337.8549
1740,600000,-151.4165
1749,601000,-213.9904
1757,602000,-281.6527
1767,603000,-193.3573
1774,604000,-286.203
1782,605000,-305.323
1791,606000,-219.865
1798,607000,-437.0166
1806,608000,-108.4563
1816,609000,-161.5847
1824,610000,-324.7435
1832,611000,-309.3197
1840,612000,-91.4563
1849,613000,-415.8808
1858,614000,-108.903
1866,615000,-263.1473
1874,616000,-290.7239
1881,617000,-335.3983
1889,618000,-294.8752
1896,619000,-225.8966
1903,620000,-505.6875
1910,621000,-457.7524
1915,622000,-665.1982
1923,623000,-226.48
1931,624000,-319.8719
1938,625000,-363.9368
1944,626000,-390.9161
1948,627000,-1023.7958
1955,628000,-391.713
1961,629000,-590.206
1968,630000,-419.9126
1976,631000,-201.646
1984,632000,-314.4389
1994,633000,-5.0078
2000,634000,-293.8426
2010,635000,-468.0759
2020,636000,-254.1753
2028,637000,-349.3993
2038,638000,-148.3131
2049,639000,-205.8428
2058,640000,-101.8273
2067,641000,-211.946
2074,642000,-461.4481
2082,643000,-469.9624
2089,644000,-253.1267
2099,645000,-160.949
2109,646000,-193.3222
2116,647000,-400.6514
2125,648000,-191.2354
2129,649000,-632.423
2135,650000,-757.9589
2141,651000,-239.8648
2146,652000,-889.2302
2152,653000,-479.3633
2156,654000,-978.8457
2163,655000,-422.5511
2166,656000,-1559.9504
2173,657000,-526.5842
